Variance,A,B,C,Class
36.216,,,,0
65.5459,,,,0
73.866,,,,0
3.4566,,,,0
0.32924,,,,0
4.3684,,,,0
3.5912,,,,0
2.0922,,,,0
3.2032,,,,0
1.5356,,,,0
1.2247,,,,0
3.9899,,,,0
1.8993,,,,0
-1.5768,,,,0
3.404,,,,0
4.6765,,,,0
2.6719,,,,0
0.80355,,,,0
1.4479,,,,0
5.2423,,,,0
5.7867,,,,0
0.3292,,,,0
3.9362,,,,0
0.93584,,,,0
4.4338,,,,0
0.7057,,,,0
1.1432,,,,0
-0.38214,,,,0
6.5633,,,,0
4.8906,,,,0
-0.24811,,,,0
1.4884,,,,0
4.2969,,,,0
-0.96511,,,,0
-1.6162,,,,0
2.4391,,,,0
2.6881,,,,0
3.6289,,,,0
4.5679,,,,0
3.4805,,,,0
4.1711,,,,0
-0.2062,,,,0
-0.0068919,,,,0
0.96441,,,,0
2.8561,,,,0
-0.7869,,,,0
2.0843,,,,0
-0.7869,,,,0
3.9102,,,,0
1.6349,,,,0
4.3239,,,,0
5.262,,,,0
3.1452,,,,0
2.549,,,,0
4.9264,,,,0
4.8265,,,,0
2.5635,,,,0
5.807,,,,0
3.1377,,,,0
-0.78289,,,,0
2.888,,,,0
0.49665,,,,0
4.2586,,,,0
1.7939,,,,0
5.4021,,,,0
2.5367,,,,0
4.6054,,,,0
2.4235,,,,0
1.0009,,,,0
0.12326,,,,0
3.9529,,,,0
4.1373,,,,0
4.7181,,,,0
4.1654,,,,0
4.4069,,,,0
2.3066,,,,0
3.7935,,,,0
0.049175,,,,0
0.24835,,,,0
1.1317,,,,0
2.8033,,,,0
4.4682,,,,0
5.0185,,,,0
1.8664,,,,0
3.245,,,,0
4.0296,,,,0
-1.1313,,,,0
0.87603,,,,0
4.1197,,,,0
3.8027,,,,0
1.4806,,,,0
4.0632,,,,0
4.3064,,,,0
2.4486,,,,0
3.2718,,,,0
-0.64472,,,,0
2.9543,,,,0
2.1616,,,,0
3.82,,,,0
-2.7419,,,,0
3.3669,,,,0
4.5597,,,,0
5.1129,,,,0
3.3397,,,,0
4.2027,,,,0
3.5438,,,,0
2.3136,,,,0
-1.8584,,,,0
3.106,,,,0
2.9163,,,,0
3.9922,,,,0
1.518,,,,0
3.2351,,,,0
4.2188,,,,0
1.7819,,,,0
2.5331,,,,0
3.8969,,,,0
2.108,,,,0
2.8969,,,,0
0.9297,,,,0
3.4642,,,,0
4.0713,,,,0
-1.4572,,,,0
-1.5075,,,,0
-0.91718,,,,0
2.994,,,,0
-2.343,,,,0
3.7818,,,,0
4.6689,,,,0
3.4663,,,,0
3.2697,,,,0
5.1302,,,,0
2.0139,,,,0
0.4339,,,,0
-1.0401,,,,0
4.1605,,,,0
5.438,,,,0
5.032,,,,0
5.2418,,,,0
-0.2062,,,,0
2.0911,,,,0
1.7317,,,,0
4.1736,,,,0
3.9232,,,,0
3.8481,,,,0
0.5195,,,,0
3.8584,,,,0
1.7496,,,,0
3.6277,,,,0
2.7391,,,,0
4.5447,,,,0
-1.7599,,,,0
5.0691,,,,0
3.4591,,,,0
1.9358,,,,0
2.486,,,,0
2.4226,,,,0
3.9479,,,,0
2.2634,,,,0
1.3566,,,,0
5.0452,,,,0
3.5499,,,,0
0.17346,,,,0
2.4008,,,,0
4.8851,,,,0
4.1927,,,,0
